,12-13-diHOME,910-diHOME,caproate,heptanoate,hydrocinnamate,mandelate,2-hydroxyoctanoate,3-hydroxyoctanoate,caprate,indoleacetate,3-hydroxydecanoate,dodecanoate,undecanedionate,myristoleate,myristate,dodecanedioate,pentadecanoate,hydroxymyristate,palmitoleate,palmitate,tetradecanedioate,10-heptadecenoate,2-hydroxyhexadecanoate,alpha-linolenate,linoleate,oleate,stearate,hexadecanedioate,10-nonadecenoate,nonadecanoate,17-methylstearate,eicosapentaenoate,arachidonate,eicosatrienoate,eicosadienoate,eicosenoate,arachidate,phytanate,docosahexaenoate,docosapentaenoate,adrenate,13-docosenoate,eicosanedioate,oleanate,masilinate,lithocholate,chenodeoxycholate,deoxycholate,hyodeoxycholate/ursodeoxycholate,ketodeoxycholate,alpha-muricholate,cholate,glycolithocholate,glycochenodeoxycholate,glycodeoxycholate,glycoursodeoxycholate,glycocholate,taurolithocholate,taurochenodeoxycholate,taurodeoxycholate,taurohyodeoxycholate/tauroursodeoxycholate,tauro-alpha-muricholate/tauro-beta-muricholate,taurocholate,salicylate,theophylline,saccharin,azelate,sebacate,2-hydroxyibuprofen,carboxyibuprofen,hydrochlorothiazide,furosemide,cetrizine,olmesartan,1234-tetrahydro-beta-carboline-13-dicarboxylate,4-hydroxystyrene,acetytyrosine,alpha-CEHC,carnosol,carnosol_isomer,crustecdysone,oxypurinol,palmitoylethanolamide,phenyllactate,p-hydroxyphenylacetate,porphobilinogen,urobilin,nervonic acid,acesulfame,oxymetazoline,13-cis-retinoic acid
CSM67UH7,886144,627537,2656,174,711371,6635,0,3014,29155,7117,339877,249029,488429,64034,4609191,10144751,170565907,38419,3873602,58962818,88754,686019,1374359,6271661,95968950,152136723,26749056,239830,390145,493559,79851,156555,2820794,848102,836728,3383913,3369028,409284,397373,281402,417779,2075286,71738,38564626,7261329,43389415,1972635,97595139,3886721,852254,107171,3501927,633351,846725,1658404,37012,500685,113162,31839,67746,24431,0,118399,40153,1236803,50180,3646101,1354284,0,1952,0,0,443,869,2819,114820,188350,5910,4266,0,240,3743032,39529,1419663,170131,10996218,29014360,804550,0,623257,181
CSM79HHO,1164354,620321,200519,141077,1145045,17354,3652291,3794,91562,48849,287560,583004,691205,33271,5387886,334573310,57026237,24881,5268355,45396086,108069,1986513,818662,10754556,220141777,330467256,9475631,115571,1262274,74928,29537,1720597,9545634,3121109,1530685,12304661,1799197,758070,3417582,1613870,1880821,2672361,13816,37423458,4331701,55975712,8204894,175985279,25956561,1216356,581145,5776398,83588,2278886,3476737,94498,1410501,205172,594284,1146430,159542,483,454705,47594,3585958,103962,9683231,1987146,0,2584,0,0,108,6877,320,31700,130633,50264,122797,0,160,581660,20788,277480,326617,5547841,103991973,188313,0,408891,490
CSM79HJM,625413,379793,1398,0,36552,5632,0,3013,23343,19241,198328,441300,404344,67397,3839441,8510220,66952953,321078,12095878,17913451,21389,894656,26593819,55029068,117909809,111423610,477388,60613,1365599,23635,23137,5482177,23507168,28052301,4171521,923261,60253,206568,15714340,96565327,17564062,1076687,12291,13556476,402601,30925460,1147640,20870265,3080377,925009,1555262,2073380,227150,775760,471558,187934,397841,170552,358920,169047,86146,0,240065,20089,3132565,28895,1729767,289968,0,94,0,0,139,3844,22672,2446379,90118,14017,28696,0,495,279076,5388,17074069,115559,7216328,553741,369718,0,8330,3268
CSM79HLA,1182153,677766,436,0,243019,4589,0,732,25529,4374,131171,202328,218625,88376,2537093,5672528,109362636,90593,7308733,14420538,21044,994570,6571217,11365786,45739622,75818694,1465839,43887,414490,24119,19964,6909231,30225344,11933353,1574597,1123888,63324,371042,21862337,30875621,4859028,472563,8260,1584603,1968577,32964470,3198972,90463702,5269804,767598,1314801,7481074,160813,233571,765856,0,288752,440644,165331,640016,7634,65,410249,10080,4755345,15923,1463808,265304,10978,5493,0,0,415,6338,8261,23849,72394,4070,194679,1466,1005,139366,12023,261733,94912,11734314,19665449,60992,0,140174,5370
CSM79HLM,328687,269256,128,0,18501,3346,0,2307,24803,5551,262705,362963,99999,66948,3193169,2432463,73427627,92673,7456541,22837418,17176,894555,5564098,11754022,88114732,67296894,3464585,29516,321683,33891,19104,1006695,9718694,7842654,970147,1042071,196944,95118,2580350,3065059,1567307,139787,6951,6249490,140147,21322178,1229318,34971985,1463494,925235,1577437,6676684,57475,842425,1410563,19849,759966,170713,368984,674832,21752,270,266082,838770,468231,33907534,1075037,503374,2168063,1462285,0,0,204,387,68270,926532,71507,2287,477162,1834,0,858742,58210,7043760,415767,0,7276141,194267,0,167073,0
CSM79HMN,305770,699626,4597,2675,23742,2599,625891,4071,73936,14487,866977,38637196,231868,51639,8109864,12271297,130049793,99812,17117874,18803966,32441,1917406,3914751,2373797,53786201,90086179,3748215,48228,210672,17671,23383,1531372,5716786,1403634,450497,1164482,119119,123384,3234026,974871,1034168,79623,3809,5389678,8678819,18077587,2288376,51625802,5609417,837747,357267,4661535,77954,3390677,2691816,236301,5914095,434469,3548248,2415355,162942,27976,6283344,368977,372192,102052,1549170,793114,0,257,0,0,0,3721,20307,2648178,218527,8572,902088,0,1039,1000872,8715,19024554,423649,3741410,147055,123148,0,10741,0
CSM79HOJ,922097,780833,78,30,303226,5181,0,3193,21869,901,323493,196663,109794,3355,2317129,3262158,73064534,28213,22483899,49153608,29279,7421958,1824898,11553774,359287373,404420954,21424734,40584,862064,59964,24743,216814,2818105,1083074,617418,3860777,1081332,103316,711634,354344,528414,309358,6978,19697539,6169401,25037018,1823619,46221817,2212245,552742,247611,2826975,18839,1117441,440222,14186,1597336,252125,6094670,1850362,416766,68365,3685086,168988,0,41382,1283267,288130,0,6042,0,0,373,612,65744,19744,39915,14177,529056,104,0,1102884,13818,205527,212157,10041493,531364,93784,0,12259,543
CSM79HPA,6208662,8658385,42676,2011,16519,11464,0,15010,80486,40331,1840393,1668616,308871,193405,11451370,21246389,63596417,189301,20715951,85779417,33904,1587179,15970078,341690051,458334705,306924108,7605379,64150,1757113,48250,46063,2353376,25568959,20602231,7039400,6001361,300975,664185,6373300,10199996,5718977,337907,33827,18601660,3188783,96254690,36037073,366447731,19177298,9482180,8760704,88601192,379235,1354840,8972395,50765,1336375,378985,260184,1015935,22697,26018,506196,98318,0,78828,1751895,1146009,0,1554,0,0,0,227,9042,4080108,37983,12032,1068740,14098,407155,1548318,502239,29812535,470138,4408554,329417,55951,0,41,0
CSM79HRG,1190180,1680206,16346,4661,2152958,12129,905407,4898,20649,35680,423918,701605,167223,3730,9907454,3621665,95483699,137846,12411824,86662658,41910,3106477,10557552,21332081,328560986,317642754,39606406,572043,834035,138545,24191,246545,1297485,3881382,1061473,5782556,1953557,80605,231102,39446,70785,487717,145277,26014214,564695,21573209,1943180,76471292,5862499,421103,87190,5578165,10690,137054,164380,6744,94310,484734,40560,851278,461,0,31648,43231,7458908,5761556,1930973,231447,0,693,0,0,3084,292,37606,170230,134316,2387,733692,1301,4293,486009,18711,1264921,289135,17062647,10570,90235,26975,0,686
CSM7KOKB,1393602,1165282,1281,190,1067477,6661,982993,24476,28276,9698,1406175,701794,448525,37748,4282713,13506140,70726263,3022,8912455,75932912,60342,1088742,199022,42623869,140802750,224964674,17698718,135699,1084038,137425,40822,5790950,63052777,35996554,8183536,5475614,1275631,102030,23707802,29127581,19938395,881974,17638,6687530,611026,484991,32426078,4340522,1607941,83618667,17530976,91791979,3780,6401583,91445,210000,4397937,53174,3308217,95382,139259,240156,3444587,185309,1107141,13103,2037354,507714,0,1524,0,0,0,1577,3908,4785539,35764,7932,475602,626,6157,91045,23332,35830930,420110,3100273,118,718758,0,192,0
CSM7KOKN,1848174,786595,14971,137,97247,14710,335974,11618,69045,3006,1362582,860162,135434,171441,5246017,8519989,36941465,10680,9920794,61867753,49522,1749952,641642,31935771,287205455,190322208,14746578,44658,780187,195522,64555,2290270,12519127,7613302,3548651,4319263,1947320,351565,5082419,4477869,5883453,1189726,5198,3256745,839958,35911434,18246207,37471261,2100252,1389089,791592,34994714,175278,9787566,1708022,136242,9819086,2294820,45271361,6920446,1561534,277505,43485850,121631,1941196,11467,627813,334213,0,647,0,0,56,553,0,2366779,104947,50745,333868,976,0,498708,20796,17975285,551309,3705886,24520,773958,0,0,2929
CSM7KOLA,3488887,2609819,18096,1212,398680,14223,997154,8507,548263,36979,833749,8742016,42025,36046,9745727,3989020,34085015,7464,4199479,32864507,23147,2354258,1140422,23253841,139897488,141796023,8361968,99384,571886,74567,32187,574099,4633869,1621411,592797,1890114,724109,9705,1828462,381095,405649,99177,13503,28180020,8173864,5757021,11330023,60410132,3482802,10971021,3628533,51448335,237615,17000624,23855933,865913,26075023,501738,55820198,39093433,1624175,344978,46769581,103844,1481336,121053,1008064,1393296,3479497,345273,0,0,0,16331,447,5587534,31369,16451,1007601,3630,0,329057,18277,41653986,355862,3106045,8186300,206769,332,3910,369
CSM7KOLK,3995903,1915274,341417,155348,1671454,14798,12594691,5003,122724,53759,725053,3998641,470797,16606,11685147,432529844,66396580,81154,31079612,85652773,69619,4258077,3528254,17429969,624572204,767210760,33114549,135890,1461557,113454,41755,419333,2610333,1562575,1964338,23371374,4008425,640849,1450099,622783,1410466,2758846,9993,41618381,2510989,32967856,4725020,142458076,12851786,937807,381216,4731262,26313,2061531,2415241,55723,4678266,158129,1825672,1363817,35882,254,2402718,47294,9080594,58341,4739653,1430369,0,2419,0,0,0,446,1462,22225,84446,18655,4322702,7236,134,1108696,2926,237046,288447,10375395,52052831,93047,0,48196,0
CSM7KOLY,1607651,1506039,2436,101,645657,15313,0,6971,23650,41565,386590,341089,233978,38866,2789131,8525183,81483736,93032,8042493,43595438,29716,3914486,9103951,22865404,210978359,230820501,11283640,96340,1182351,113206,61786,480671,6262832,8559694,1149459,4601488,1815995,770083,643181,3049994,3403291,884891,6771,12529030,152211,29827326,2984930,95920336,5470942,1393877,3385180,5987389,39841,786444,533350,38780,531103,97166,261719,212783,31025,211,170423,45160,2356186,39553391,1691508,486247,0,113,0,0,16317,66,9028,33065,60043,16005,417518,979,0,547780,2774,226111,140892,2550988,61756076,822549,4428421,264520,760
