,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Collinsella aerofaciens,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides massiliensis,Bacteroides ovatus,Bacteroides salyersiae,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides vulgatus,Bacteroides xylanisolvens,Bacteroidales bacterium ph8,Barnesiella intestinihominis,Coprobacter fastidiosus,Odoribacter splanchnicus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides merdae,Parabacteroides unclassified,Paraprevotella clara,Paraprevotella unclassified,Prevotella copri,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes unclassified,Streptococcus salivarius,Clostridium bolteae,Clostridium citroniae,Clostridium clostridioforme,Clostridium hathewayi,Clostridium leptum,Clostridium nexile,Clostridium symbiosum,Flavonifractor plautii,Eubacterium eligens,Eubacterium hallii,Eubacterium rectale,Eubacterium siraeum,Eubacterium sp 3 1 31,Eubacterium ventriosum,Ruminococcus gnavus,Ruminococcus obeum,Ruminococcus torques,Coprococcus comes,Dorea longicatena,Lachnospiraceae bacterium 1 1 57FAA,Lachnospiraceae bacterium 3 1 46FAA,Roseburia hominis,Roseburia intestinalis,Roseburia inulinivorans,Roseburia unclassified,Oscillibacter unclassified,Peptostreptococcaceae noname unclassified,Faecalibacterium prausnitzii,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus lactaris,Subdoligranulum unclassified,Coprobacillus unclassified,Acidaminococcus unclassified,Dialister invisus,Veillonella atypica,Veillonella dispar,Veillonella parvula,Veillonella unclassified,Burkholderiales bacterium 1 1 47,Parasutterella excrementihominis,Sutterella wadsworthensis,Bilophila unclassified,Escherichia coli,Escherichia unclassified,Klebsiella pneumoniae,Haemophilus parainfluenzae,Akkermansia muciniphila,C2likevirus unclassified
CSM67UH7,0,0,0,0,0,0.0221013,0.0029433,1.15E-05,0,0,0,0.0158292,0,0.0479693,0.004973,0,0,0.027192,2.32E-05,0.0714785,8.82E-05,0,0,0,0,4.96E-05,0,0,0.0045691,0,0,0,0,0.0050988,0.0016079,0,0.0032042,9.20E-06,0.0104878,0,0,0,0.0002194,0,0,0,0.0024737,0.0003499,0.010012,0.0003818,0,0,0,0.0005323,0.0060577,0.0015637,0.0004736,0,0.004147,0.0002678,0.0001495,0.0039219,0,3.80E-06,0.0001791,0.0182381,0,0,0,0.103035,0,0,0,0,0,3.90E-06,0.0001238,0.014631,0.0063385,0,0.0012122,0.0001938,0.0001004,0.000444,0.0019847,0.586016,0.0005044
CSM79HHO,0,0,9.65E-05,0,2.04E-05,0.0157181,0,0.083004,0,0,0,0.0071206,0,0,4.74E-05,0,0.157019,0.0046602,0.0493484,0,0.0020063,0.0095666,0.0705985,0.0010852,0.0139819,0.0011357,0,0.0313022,0,0,0,0,0.0353064,0.0985336,0.0690905,0.0332522,0,0,0,0,0,0,0.0004364,0,0,0,0.0009504,0,0.0019891,0.118538,0,0.0002889,0,0.0011735,0.000652,0.0003614,0.0004603,0.0008405,0.0006124,0.0017927,0.0044154,0.0002512,0,0.0057997,0,0.0589062,0,0.0013513,0.0004324,0.0722672,0,0,0,0,0,0,0,0,0,0.0136031,0.0004388,0,0.000133,0,0.0008514,0.0028067,0.000285
CSM79HJM,0.0039591,0.0011623,6.91E-05,0,0,0.0591137,0,0.12648,0,0,0,0.0154475,0,2.56E-05,0.199089,0,0,0,1.45E-05,2.00E-05,0.0031363,0,0,0,0,0,0,0,0.0001881,0,0,0,0,0,0.0658142,0,0,0.0002922,0.0009431,0,0.0001485,0.000215,0.00168,0,0,0.0071226,0,0.0004654,0.0889014,0.0124131,0,0,0.0113438,1.08E-05,0.0015912,0,0,0,0,0.0077741,0,0.0018683,0,0.0475042,0,0.0242088,0,0,0,0.020998,0,0,0,0,5.51E-05,4.18E-05,0.000491,0,0.0070996,0,0.0077871,0,0,0,0,0.0556152,0
CSM79HLA,0,0,0.0079679,0,0.0104942,0.0821131,0.002487,0.0038498,0,0.0005181,0.0014423,0,0,0,0.0520357,0,0.0807773,3.45E-05,0.058849,0.0928012,0.0001608,0,0,0,0,0.0031456,0,0.0355285,0,0,0,0,0.0190236,0,0,0,0.0130732,0,0.0410486,0.0007232,0.0007535,0.0014328,0.0015406,0,0.001424,0.0037597,0.0018215,0.00419,0.171011,0,0,0,0,0.0013628,0.0149968,0,0.008676,0,0,0,0,0.0088609,0,0.0433015,0,0.014843,0,0,0.0255104,0.0528837,0.000308,0,0,0,0,0,0,0.006466,7.57E-05,0,0.0354845,9.97E-05,0.0003962,0,0,0,0
CSM79HLM,0,0,0.0002453,0,0,0.0655653,0,0.0997311,0,0,0,0.0048479,0,0,0.136434,0.021502,0,0.0067764,0.300376,4.24E-05,0.0069597,0,0,0,0.0041445,0.0109004,0,0,0.0031409,0,0,0,0.0003937,0.0142269,0.119354,0,0,0,0.0001263,0,0.0005039,0,0.0008426,0,2.58E-05,2.90E-05,0,0.0021104,0.0021113,0.0194026,1.32E-05,0,0.0034251,0.0020387,0.0013697,0.0021277,0.0031584,0,0,0,0,0,0.0003233,0.0069055,0,0.0516251,0.0085577,0,0,0.0224521,0,0.0401327,0,0,0,0,0,0.000807,0.0015629,0,0.0011963,0,0,0,0,0,0
CSM79HMN,0.0005307,0,0,0,0.0001542,0.0296282,0.0025677,0.0023522,0,0.0028487,0,0.0275803,0,0,0.0219744,0.025237,0.118973,0.000553,0.0451332,0.129321,0.0004286,0.0018408,0.0745911,0,0.0077625,0,0,0.0030858,0,0.0094679,0.0215229,0,0,0.0083442,0.0994865,0.0071428,0,0,0,0,0,0,0,0,0,0.0003638,0.0184114,0.0002688,0.0230011,0,0,0,0,0.0005842,0.0031008,0.000309,0.0008662,0,0.0016198,0.0009105,8.25E-05,0.0213995,0,0.0088606,0.0012836,0.195542,0,0,0.0020165,0.043021,0,0,0,0,0,0,0.0001458,6.38E-05,0.0014218,0,0.0012924,0.0033443,0,0,0,0,0
CSM79HOJ,7.14E-05,0.0003458,0.0002002,0,0.0004291,0.0279387,0,0.0004035,2.05E-05,0.0005193,2.30E-06,0,0,0.000619,0.0720368,0,0.029464,0.0003867,0.504706,0.0223216,0,0.0010588,5.83E-05,0,0,0.0019166,0,0.004797,0,0,0,0,0,0.0039225,0.0274838,0,0,0,3.86E-05,2.50E-06,0,0,0.0001021,0,0,0.0005142,0.0160494,0,0.0976764,0.0058308,0,0,0,0.0037954,0.0017966,0.0002656,0.0005987,0,0.0004918,0.0005239,0,0.0055977,0.0004158,0.005325,0,0.0519154,0,0,0,0.0967306,0,0,0,0,0,0,7.90E-05,0,7.44E-05,2.30E-06,0.0005763,0,0,0,0,0,0
CSM79HPA,0.000905,0,0,0,0.0002661,0.0026806,0.0867369,0.0021422,9.66E-05,0.0005538,0.0180574,0.0090018,1.49E-05,0.022003,0.0149105,0.0077198,0.0057282,0.0013432,0.0452488,0.0294494,0.0008123,0.001367,0.0003822,0,0.0188413,0,0,0.0018432,0.0209407,0,0,0.0008352,0.0005524,0.0103686,0.0041298,0.0072724,0,0,0.006869,0.0005966,0.0433924,0.0005713,7.77E-05,0,0,0.0033421,0.0001481,0.0003263,0.0139652,0.0007594,0,0.0001246,0.0005202,1.88E-05,0.000581,0,0.0026039,0.0009094,0,0.0014003,0.0007287,0.0006047,0.000698,0,0,0.0124359,0,0,1.30E-05,0.0644889,0,0.277277,0.0006312,0,0,0,0,0.0072916,0.0059053,2.33E-05,0.003822,0.008292,0,0,0,0.0015128,0.0010159
CSM79HRG,0,0,0,0,9.99E-05,0.0031181,0,0,0,0,0,0,0.0054319,0,0.165575,0,0,0,0,0.107379,0,0,0,0,0,0,0,0.0192319,0,0,0,0,0,0,0,0,0,0,3.34E-05,0,0,0,0.0021756,0,0,0.0003871,0.0417303,0,0.137003,0.18583,0,0,0,0.0102584,0.0049949,0.0052849,0.0017373,0,0.0001422,0.0092796,0,0.0007932,0,0.0152001,0,0.135419,0,0,0.0091616,0.0125766,0,0.0961554,0.0060488,0,1.23E-05,0.0004158,0.0006969,0.0007967,0.0001428,0,0,0,0,0,0,3.16E-05,0.004124
CSM7KOKB,0,0,0,0,0,0.0864172,0,0.0137304,0,0.0016902,0.0018102,0.0139627,0,0,0.19609,0,0.0030625,0.0630533,0.159542,0.0410407,0.107722,0,0,0,0.0234163,0.0015866,0,0,0.0508979,0,0,0,0.0018387,0.0078442,0.0311212,0,0,0,0.0025963,0,0.0008923,0.0005695,0,0,0.0036858,0.0025117,0.0032519,0,0.0001924,0,0,9.07E-05,0,0,0,0,0,0,0,0,0,0,0,0.0045425,0,0.157683,0,0,0,0.0024704,0,0,0.0089433,0,0,0,0,0.0009632,0.0017591,0,0,0.0003343,0,0,0,0,0
