,taxonomy
1,12-13-diHOME
2,910-diHOME
3,caproate
4,heptanoate
5,hydrocinnamate
6,mandelate
7,2-hydroxyoctanoate
8,3-hydroxyoctanoate
9,caprate
10,indoleacetate
11,3-hydroxydecanoate
12,dodecanoate
13,undecanedionate
14,myristoleate
15,myristate
16,dodecanedioate
17,pentadecanoate
18,hydroxymyristate
19,palmitoleate
20,palmitate
21,tetradecanedioate
22,10-heptadecenoate
23,2-hydroxyhexadecanoate
24,alpha-linolenate
25,linoleate
26,oleate
27,stearate
28,hexadecanedioate
29,10-nonadecenoate
30,nonadecanoate
31,17-methylstearate
32,eicosapentaenoate
33,arachidonate
34,eicosatrienoate
35,eicosadienoate
36,eicosenoate
37,arachidate
38,phytanate
39,docosahexaenoate
40,docosapentaenoate
41,adrenate
42,13-docosenoate
43,eicosanedioate
44,oleanate
45,masilinate
46,lithocholate
47,chenodeoxycholate
48,deoxycholate
49,hyodeoxycholate/ursodeoxycholate
50,ketodeoxycholate
51,alpha-muricholate
52,cholate
53,glycolithocholate
54,glycochenodeoxycholate
55,glycodeoxycholate
56,glycoursodeoxycholate
57,glycocholate
58,taurolithocholate
59,taurochenodeoxycholate
60,taurodeoxycholate
61,taurohyodeoxycholate/tauroursodeoxycholate
62,tauro-alpha-muricholate/tauro-beta-muricholate
63,taurocholate
64,salicylate
65,theophylline
66,saccharin
67,azelate
68,sebacate
69,2-hydroxyibuprofen
70,carboxyibuprofen
71,hydrochlorothiazide
72,furosemide
73,cetrizine
74,olmesartan
75,1234-tetrahydro-beta-carboline-13-dicarboxylate
76,4-hydroxystyrene
77,acetytyrosine
78,alpha-CEHC
79,carnosol
80,carnosol_isomer
81,crustecdysone
82,oxypurinol
83,palmitoylethanolamide
84,phenyllactate
85,p-hydroxyphenylacetate
86,porphobilinogen
87,urobilin
88,nervonic acid
89,acesulfame
90,oxymetazoline
91,13-cis-retinoic acid
92,Bifidobacterium adolescentis
93,Bifidobacterium bifidum
94,Bifidobacterium longum
95,Bifidobacterium pseudocatenulatum
96,Collinsella aerofaciens
97,Bacteroides caccae
98,Bacteroides cellulosilyticus
99,Bacteroides dorei
100,Bacteroides eggerthii
101,Bacteroides faecis
102,Bacteroides finegoldii
103,Bacteroides fragilis
104,Bacteroides intestinalis
105,Bacteroides massiliensis
106,Bacteroides ovatus
107,Bacteroides salyersiae
108,Bacteroides stercoris
109,Bacteroides thetaiotaomicron
110,Bacteroides uniformis
111,Bacteroides vulgatus
112,Bacteroides xylanisolvens
113,Bacteroidales bacterium ph8
114,Barnesiella intestinihominis
115,Coprobacter fastidiosus
116,Odoribacter splanchnicus
117,Parabacteroides distasonis
118,Parabacteroides goldsteinii
119,Parabacteroides merdae
120,Parabacteroides unclassified
121,Paraprevotella clara
122,Paraprevotella unclassified
123,Prevotella copri
124,Alistipes finegoldii
125,Alistipes onderdonkii
126,Alistipes putredinis
127,Alistipes shahii
128,Alistipes unclassified
129,Streptococcus salivarius
130,Clostridium bolteae
131,Clostridium citroniae
132,Clostridium clostridioforme
133,Clostridium hathewayi
134,Clostridium leptum
135,Clostridium nexile
136,Clostridium symbiosum
137,Flavonifractor plautii
138,Eubacterium eligens
139,Eubacterium hallii
140,Eubacterium rectale
141,Eubacterium siraeum
142,Eubacterium sp 3 1 31
143,Eubacterium ventriosum
144,Ruminococcus gnavus
145,Ruminococcus obeum
146,Ruminococcus torques
147,Coprococcus comes
148,Dorea longicatena
149,Lachnospiraceae bacterium 1 1 57FAA
150,Lachnospiraceae bacterium 3 1 46FAA
151,Roseburia hominis
152,Roseburia intestinalis
153,Roseburia inulinivorans
154,Roseburia unclassified
155,Oscillibacter unclassified
156,Peptostreptococcaceae noname unclassified
157,Faecalibacterium prausnitzii
158,Ruminococcus bromii
159,Ruminococcus callidus
160,Ruminococcus lactaris
161,Subdoligranulum unclassified
162,Coprobacillus unclassified
163,Acidaminococcus unclassified
164,Dialister invisus
165,Veillonella atypica
166,Veillonella dispar
167,Veillonella parvula
168,Veillonella unclassified
169,Burkholderiales bacterium 1 1 47
170,Parasutterella excrementihominis
171,Sutterella wadsworthensis
172,Bilophila unclassified
173,Escherichia coli
174,Escherichia unclassified
175,Klebsiella pneumoniae
176,Haemophilus parainfluenzae
177,Akkermansia muciniphila
178,C2likevirus unclassified
